id,headline,author,content,source,published_date,engagement_score,clicks,read_time,sentiment_score,is_fake
1414,Headline 1414,John Doe,Content of news article 1414,Blog,2019-12-20 06:00:00,42,1347,5,-0.9083883339305052,1
1415,Headline 1415,John Doe,Content of news article 1415,News Source 2,2019-12-20 12:00:00,89,3937,9,-0.8389653622354385,1
1416,Headline 1416,Anonymous,Content of news article 1416,News Source 2,2019-12-20 18:00:00,28,4094,4,0.6646711695696779,0
1417,Headline 1417,Reporter X,Content of news article 1417,Independent,2019-12-21 00:00:00,56,3344,8,-0.3185855013115688,1
1418,Headline 1418,Reporter X,Content of news article 1418,Blog,2019-12-21 06:00:00,88,3338,2,0.6492941972395334,0
1419,Headline 1419,Jane Smith,Content of news article 1419,News Source 1,2019-12-21 12:00:00,99,578,7,0.9050469807722648,0
1420,Headline 1420,Anonymous,Content of news article 1420,Blog,2019-12-21 18:00:00,41,2912,4,0.15479148435099832,0
1421,Headline 1421,John Doe,Content of news article 1421,News Source 2,2019-12-22 00:00:00,35,3873,7,0.7391767114815893,0
1422,Headline 1422,Jane Smith,Content of news article 1422,News Source 1,2019-12-22 06:00:00,20,3648,3,0.8281380641322336,0
1423,Headline 1423,Anonymous,Content of news article 1423,Blog,2019-12-22 12:00:00,51,1061,6,-0.33758124740074735,0
1424,Headline 1424,Jane Smith,Content of news article 1424,News Source 2,2019-12-22 18:00:00,4,2452,6,0.3948841698485226,0
1425,Headline 1425,John Doe,Content of news article 1425,Blog,2019-12-23 00:00:00,74,223,11,-0.17299145747007616,0
1426,Headline 1426,Reporter X,Content of news article 1426,News Source 2,2019-12-23 06:00:00,2,3587,2,-0.9719011499091692,1
1427,Headline 1427,Anonymous,Content of news article 1427,Blog,2019-12-23 12:00:00,78,4815,13,-0.19990801263467284,0
1428,Headline 1428,Reporter X,Content of news article 1428,Independent,2019-12-23 18:00:00,4,3993,7,0.6411711822864168,0
1429,Headline 1429,Anonymous,Content of news article 1429,Blog,2019-12-24 00:00:00,88,2088,10,-0.22566789550058908,0
1430,Headline 1430,Jane Smith,Content of news article 1430,Independent,2019-12-24 06:00:00,18,3276,12,0.2878633159768085,0
1431,Headline 1431,John Doe,Content of news article 1431,Blog,2019-12-24 12:00:00,39,233,10,-0.2649817052141321,0
1432,Headline 1432,Reporter X,Content of news article 1432,News Source 2,2019-12-24 18:00:00,99,2967,14,-0.33992906645905685,1
1433,Headline 1433,Anonymous,Content of news article 1433,News Source 1,2019-12-25 00:00:00,8,1872,2,-0.3447451757335802,1
1434,Headline 1434,John Doe,Content of news article 1434,Blog,2019-12-25 06:00:00,40,3598,11,-0.8693176099439719,0
1435,Headline 1435,Reporter X,Content of news article 1435,Blog,2019-12-25 12:00:00,26,2158,6,-0.9072291495499476,0
1436,Headline 1436,Anonymous,Content of news article 1436,Independent,2019-12-25 18:00:00,19,2299,12,0.9209586228839031,1
1437,Headline 1437,Jane Smith,Content of news article 1437,News Source 2,2019-12-26 00:00:00,19,4889,11,-0.04320354234072421,0
1438,Headline 1438,Jane Smith,Content of news article 1438,Independent,2019-12-26 06:00:00,51,29,13,0.41784149539447,1
1439,Headline 1439,John Doe,Content of news article 1439,Independent,2019-12-26 12:00:00,62,1382,4,0.6276139943217705,0
1440,Headline 1440,Reporter X,Content of news article 1440,News Source 2,2019-12-26 18:00:00,61,2520,7,-0.029720660250502018,1
1441,Headline 1441,Anonymous,Content of news article 1441,Blog,2019-12-27 00:00:00,9,2488,2,0.9589243342832809,1
1442,Headline 1442,Anonymous,Content of news article 1442,News Source 2,2019-12-27 06:00:00,23,663,2,-0.07056992678634932,0
1443,Headline 1443,John Doe,Content of news article 1443,News Source 2,2019-12-27 12:00:00,62,1596,3,0.12096011810314211,0
1444,Headline 1444,Jane Smith,Content of news article 1444,News Source 2,2019-12-27 18:00:00,94,3869,15,-0.2911599092107713,0
1445,Headline 1445,John Doe,Content of news article 1445,News Source 1,2019-12-28 00:00:00,41,850,6,0.19143015728766888,1
1446,Headline 1446,Jane Smith,Content of news article 1446,Blog,2019-12-28 06:00:00,2,4966,6,-0.978383882113181,1
1447,Headline 1447,Reporter X,Content of news article 1447,Independent,2019-12-28 12:00:00,73,1376,15,-0.1512331884418292,1
1448,Headline 1448,John Doe,Content of news article 1448,Blog,2019-12-28 18:00:00,86,868,8,-0.7685315025505273,0
1449,Headline 1449,Anonymous,Content of news article 1449,Blog,2019-12-29 00:00:00,22,2657,6,-0.14098870026077126,0
1450,Headline 1450,Jane Smith,Content of news article 1450,Independent,2019-12-29 06:00:00,35,1694,14,0.2762232658049406,1
1451,Headline 1451,Reporter X,Content of news article 1451,Independent,2019-12-29 12:00:00,68,237,6,0.7095692863379157,1
1452,Headline 1452,Anonymous,Content of news article 1452,News Source 2,2019-12-29 18:00:00,18,4850,5,0.8292942220459474,1
1453,Headline 1453,Reporter X,Content of news article 1453,Independent,2019-12-30 00:00:00,99,1457,13,0.5664326403537714,1
1454,Headline 1454,Reporter X,Content of news article 1454,News Source 1,2019-12-30 06:00:00,46,2331,8,-0.9166870420995805,1
1455,Headline 1455,Anonymous,Content of news article 1455,News Source 2,2019-12-30 12:00:00,29,4682,9,-0.2210668423516997,1
1456,Headline 1456,Anonymous,Content of news article 1456,Independent,2019-12-30 18:00:00,66,21,11,-0.24810502253974187,1
1457,Headline 1457,Reporter X,Content of news article 1457,Blog,2019-12-31 00:00:00,19,431,6,0.6389814143153334,1
1458,Headline 1458,Jane Smith,Content of news article 1458,News Source 1,2019-12-31 06:00:00,53,196,15,0.7681109188668964,0
1459,Headline 1459,John Doe,Content of news article 1459,Blog,2019-12-31 12:00:00,96,4625,12,-0.6140189074956985,0
1460,Headline 1460,Jane Smith,Content of news article 1460,News Source 1,2019-12-31 18:00:00,12,1264,11,0.34187652491737186,0
1461,Headline 1461,Reporter X,Content of news article 1461,Blog,2020-01-01 00:00:00,44,4783,2,-0.38206545599101127,1
1462,Headline 1462,Reporter X,Content of news article 1462,Independent,2020-01-01 06:00:00,49,4214,9,-0.13634195628715107,0
1463,Headline 1463,Jane Smith,Content of news article 1463,News Source 1,2020-01-01 12:00:00,26,3200,12,-0.6976189280217069,1
1464,Headline 1464,Anonymous,Content of news article 1464,News Source 2,2020-01-01 18:00:00,79,427,11,0.8827285749616542,0
1465,Headline 1465,Reporter X,Content of news article 1465,News Source 2,2020-01-02 00:00:00,68,1451,7,0.9524600329819446,1
1466,Headline 1466,Anonymous,Content of news article 1466,Independent,2020-01-02 06:00:00,14,87,12,-0.6850624427413439,0
1467,Headline 1467,Jane Smith,Content of news article 1467,News Source 1,2020-01-02 12:00:00,99,3782,6,-0.3854196927111919,0
1468,Headline 1468,John Doe,Content of news article 1468,Blog,2020-01-02 18:00:00,79,2801,12,-0.4705413785791257,1
1469,Headline 1469,Reporter X,Content of news article 1469,Blog,2020-01-03 00:00:00,41,4956,13,-0.1754654800697073,1
1470,Headline 1470,Jane Smith,Content of news article 1470,Independent,2020-01-03 06:00:00,57,1966,1,0.7889450598467072,0
1471,Headline 1471,Jane Smith,Content of news article 1471,Independent,2020-01-03 12:00:00,17,3200,13,0.1305127446503338,0
1472,Headline 1472,John Doe,Content of news article 1472,News Source 2,2020-01-03 18:00:00,53,910,6,-0.07728781701838949,1
1473,Headline 1473,Jane Smith,Content of news article 1473,News Source 2,2020-01-04 00:00:00,50,1031,14,0.48963402959210556,0
1474,Headline 1474,John Doe,Content of news article 1474,News Source 2,2020-01-04 06:00:00,85,1529,7,0.4823887481006486,0
1475,Headline 1475,John Doe,Content of news article 1475,Blog,2020-01-04 12:00:00,61,3163,2,0.04935191716810805,1
1476,Headline 1476,Anonymous,Content of news article 1476,Independent,2020-01-04 18:00:00,75,1675,7,0.040381690135285364,1
1477,Headline 1477,Reporter X,Content of news article 1477,News Source 1,2020-01-05 00:00:00,81,873,13,-0.91993824289057,0
1478,Headline 1478,Jane Smith,Content of news article 1478,News Source 2,2020-01-05 06:00:00,85,3609,10,0.2997968613103612,0
1479,Headline 1479,John Doe,Content of news article 1479,Independent,2020-01-05 12:00:00,73,3602,15,-0.04436223734161948,1
1480,Headline 1480,Jane Smith,Content of news article 1480,Blog,2020-01-05 18:00:00,3,771,15,-0.1633816214978634,0
1481,Headline 1481,Anonymous,Content of news article 1481,Blog,2020-01-06 00:00:00,7,3184,3,0.052806521586339805,0
1482,Headline 1482,Anonymous,Content of news article 1482,Blog,2020-01-06 06:00:00,18,4092,4,-0.7448410213588517,1
1483,Headline 1483,Anonymous,Content of news article 1483,Blog,2020-01-06 12:00:00,26,4239,11,0.39066646548936435,1
1484,Headline 1484,John Doe,Content of news article 1484,Blog,2020-01-06 18:00:00,40,701,11,-0.9100355293162568,1
1485,Headline 1485,Anonymous,Content of news article 1485,News Source 2,2020-01-07 00:00:00,0,17,9,0.9329344194648219,0
1486,Headline 1486,Anonymous,Content of news article 1486,News Source 2,2020-01-07 06:00:00,90,4283,12,0.9791328573287619,0
1487,Headline 1487,John Doe,Content of news article 1487,News Source 1,2020-01-07 12:00:00,0,2507,4,0.8135690822390644,1
1488,Headline 1488,Jane Smith,Content of news article 1488,News Source 2,2020-01-07 18:00:00,58,4669,3,-0.4569464302961308,1
1489,Headline 1489,Anonymous,Content of news article 1489,Blog,2020-01-08 00:00:00,62,1758,12,-0.3327684353965188,1
1490,Headline 1490,Jane Smith,Content of news article 1490,News Source 1,2020-01-08 06:00:00,63,1398,7,0.5010320723845099,1
1491,Headline 1491,Reporter X,Content of news article 1491,Blog,2020-01-08 12:00:00,49,2597,8,-0.8680427925587157,1
1492,Headline 1492,Reporter X,Content of news article 1492,Independent,2020-01-08 18:00:00,59,3181,15,-0.1832898105900047,1
1493,Headline 1493,Jane Smith,Content of news article 1493,Independent,2020-01-09 00:00:00,26,1852,14,-0.06288395456733298,0
1494,Headline 1494,John Doe,Content of news article 1494,News Source 1,2020-01-09 06:00:00,87,2556,4,0.11022384348968162,1
1495,Headline 1495,Reporter X,Content of news article 1495,Blog,2020-01-09 12:00:00,66,1025,10,0.6736731293478488,1
1496,Headline 1496,Reporter X,Content of news article 1496,News Source 2,2020-01-09 18:00:00,25,4499,14,-0.2892799400701387,0
1497,Headline 1497,Anonymous,Content of news article 1497,News Source 2,2020-01-10 00:00:00,7,3385,1,-0.7455112659415191,1
1498,Headline 1498,Jane Smith,Content of news article 1498,News Source 1,2020-01-10 06:00:00,66,3453,13,0.4982472217565188,1
1499,Headline 1499,John Doe,Content of news article 1499,News Source 2,2020-01-10 12:00:00,72,3233,6,-0.6208042988794715,0
1500,Headline 1500,Anonymous,Content of news article 1500,Independent,2020-01-10 18:00:00,12,3739,3,0.3063046231801292,0
1501,Headline 1501,Reporter X,Content of news article 1501,Blog,2020-01-11 00:00:00,73,184,6,0.1089757452360931,1
1502,Headline 1502,Jane Smith,Content of news article 1502,Blog,2020-01-11 06:00:00,32,3222,7,0.2736925034938471,1
1503,Headline 1503,Jane Smith,Content of news article 1503,News Source 1,2020-01-11 12:00:00,35,3865,9,-0.7749535941913108,1
1504,Headline 1504,Anonymous,Content of news article 1504,Independent,2020-01-11 18:00:00,88,2499,2,-0.5852825187104005,0
1505,Headline 1505,Reporter X,Content of news article 1505,Blog,2020-01-12 00:00:00,26,2518,2,-0.46574006142043367,0
1506,Headline 1506,Reporter X,Content of news article 1506,News Source 2,2020-01-12 06:00:00,46,1898,7,0.6812359963302581,1
1507,Headline 1507,Reporter X,Content of news article 1507,Independent,2020-01-12 12:00:00,94,1042,3,-0.02306446814612828,0
1508,Headline 1508,Anonymous,Content of news article 1508,Blog,2020-01-12 18:00:00,87,29,15,0.8974400015843769,1
1509,Headline 1509,Reporter X,Content of news article 1509,Independent,2020-01-13 00:00:00,8,2843,2,0.571131529559787,1
1510,Headline 1510,Reporter X,Content of news article 1510,Independent,2020-01-13 06:00:00,44,4988,4,0.14288083590367062,1
1511,Headline 1511,Reporter X,Content of news article 1511,Blog,2020-01-13 12:00:00,6,1538,2,-0.9544090901529514,0
1512,Headline 1512,Anonymous,Content of news article 1512,Blog,2020-01-13 18:00:00,75,1727,13,-0.15190595338858404,0
1513,Headline 1513,Reporter X,Content of news article 1513,Independent,2020-01-14 00:00:00,78,4097,9,0.6076494628203,0
1514,Headline 1514,John Doe,Content of news article 1514,News Source 2,2020-01-14 06:00:00,44,529,10,-0.7984775245809557,0
1515,Headline 1515,Reporter X,Content of news article 1515,Independent,2020-01-14 12:00:00,65,3214,1,-0.49493538501033374,0
1516,Headline 1516,Jane Smith,Content of news article 1516,Blog,2020-01-14 18:00:00,50,998,4,0.5822742074178844,1
1517,Headline 1517,John Doe,Content of news article 1517,Blog,2020-01-15 00:00:00,93,2614,12,-0.703873809538742,0
1518,Headline 1518,Jane Smith,Content of news article 1518,News Source 1,2020-01-15 06:00:00,47,4026,6,-0.4711531097344188,1
1519,Headline 1519,Anonymous,Content of news article 1519,News Source 2,2020-01-15 12:00:00,32,1149,14,0.6903822571339442,1
1520,Headline 1520,Reporter X,Content of news article 1520,News Source 2,2020-01-15 18:00:00,77,2403,1,-0.9874846217290172,0
1521,Headline 1521,John Doe,Content of news article 1521,Independent,2020-01-16 00:00:00,1,2194,10,-0.038169868476659374,1
1522,Headline 1522,John Doe,Content of news article 1522,Independent,2020-01-16 06:00:00,35,3449,12,0.6601752621481933,1
1523,Headline 1523,Anonymous,Content of news article 1523,News Source 2,2020-01-16 12:00:00,13,2809,7,-0.16487101205055787,1
1524,Headline 1524,John Doe,Content of news article 1524,News Source 1,2020-01-16 18:00:00,25,366,8,-0.735993879899699,0
1525,Headline 1525,Reporter X,Content of news article 1525,Blog,2020-01-17 00:00:00,67,2500,5,-0.7630689817089933,0
1526,Headline 1526,Anonymous,Content of news article 1526,Blog,2020-01-17 06:00:00,58,1281,9,0.5303330377536504,0
1527,Headline 1527,Reporter X,Content of news article 1527,Blog,2020-01-17 12:00:00,11,121,2,-0.20279192520144607,1
1528,Headline 1528,Reporter X,Content of news article 1528,Blog,2020-01-17 18:00:00,41,1261,4,0.24185914000780562,0
1529,Headline 1529,Anonymous,Content of news article 1529,News Source 2,2020-01-18 00:00:00,79,2817,9,0.03232758165070404,1
1530,Headline 1530,Jane Smith,Content of news article 1530,News Source 2,2020-01-18 06:00:00,18,1722,6,0.09285008736702438,0
1531,Headline 1531,Jane Smith,Content of news article 1531,News Source 1,2020-01-18 12:00:00,83,2268,4,-0.9301212822060709,0
1532,Headline 1532,Anonymous,Content of news article 1532,News Source 2,2020-01-18 18:00:00,2,3510,7,-0.9633334486093819,1
1533,Headline 1533,Jane Smith,Content of news article 1533,News Source 1,2020-01-19 00:00:00,22,3609,3,-0.8330059399400886,0
1534,Headline 1534,John Doe,Content of news article 1534,Blog,2020-01-19 06:00:00,8,1115,14,0.7222791764689827,0
1535,Headline 1535,Jane Smith,Content of news article 1535,News Source 2,2020-01-19 12:00:00,41,4706,8,0.84190680819951,0
1536,Headline 1536,Reporter X,Content of news article 1536,Blog,2020-01-19 18:00:00,69,2443,6,0.9332274252785244,0
1537,Headline 1537,Reporter X,Content of news article 1537,News Source 2,2020-01-20 00:00:00,90,1081,14,-0.4512427039981668,1
1538,Headline 1538,John Doe,Content of news article 1538,News Source 2,2020-01-20 06:00:00,11,1555,11,0.01122326931983042,1
1539,Headline 1539,Reporter X,Content of news article 1539,Independent,2020-01-20 12:00:00,6,4820,1,0.010913941434478103,0
1540,Headline 1540,Reporter X,Content of news article 1540,Blog,2020-01-20 18:00:00,41,4268,12,0.6709266682595065,1
1541,Headline 1541,Anonymous,Content of news article 1541,Blog,2020-01-21 00:00:00,14,809,10,-0.43337812453148805,0
1542,Headline 1542,Reporter X,Content of news article 1542,News Source 2,2020-01-21 06:00:00,24,2238,2,-0.6834298686550602,0
1543,Headline 1543,Jane Smith,Content of news article 1543,News Source 1,2020-01-21 12:00:00,6,2366,1,-0.3405191766063136,0
1544,Headline 1544,Jane Smith,Content of news article 1544,Blog,2020-01-21 18:00:00,99,2055,12,-0.7016900678822919,1
1545,Headline 1545,John Doe,Content of news article 1545,News Source 2,2020-01-22 00:00:00,59,617,6,0.6225896939230573,1
1546,Headline 1546,John Doe,Content of news article 1546,News Source 2,2020-01-22 06:00:00,66,1267,4,0.6325784901786111,1
1547,Headline 1547,Anonymous,Content of news article 1547,Blog,2020-01-22 12:00:00,85,1966,6,0.24110168688586686,1
1548,Headline 1548,Jane Smith,Content of news article 1548,News Source 1,2020-01-22 18:00:00,22,1856,15,0.9933332057486186,1
1549,Headline 1549,Reporter X,Content of news article 1549,Independent,2020-01-23 00:00:00,100,4962,10,-0.9712320961324399,0
1550,Headline 1550,Reporter X,Content of news article 1550,Independent,2020-01-23 06:00:00,98,3286,11,-0.4860154323544026,0
1551,Headline 1551,Jane Smith,Content of news article 1551,News Source 2,2020-01-23 12:00:00,27,1597,13,-0.4199495448117947,0
1552,Headline 1552,Anonymous,Content of news article 1552,Blog,2020-01-23 18:00:00,90,1895,1,0.5742178151553277,0
1553,Headline 1553,Jane Smith,Content of news article 1553,Independent,2020-01-24 00:00:00,30,1852,7,-0.04203431205715846,1
1554,Headline 1554,John Doe,Content of news article 1554,Blog,2020-01-24 06:00:00,80,2502,14,-0.6699254117504088,1
1555,Headline 1555,Reporter X,Content of news article 1555,Independent,2020-01-24 12:00:00,67,1201,5,0.18980475714360212,1
1556,Headline 1556,Reporter X,Content of news article 1556,Blog,2020-01-24 18:00:00,17,1035,4,-0.5947276362894696,0
1557,Headline 1557,Jane Smith,Content of news article 1557,News Source 1,2020-01-25 00:00:00,61,1486,9,0.6970274026138075,1
1558,Headline 1558,Jane Smith,Content of news article 1558,News Source 2,2020-01-25 06:00:00,55,2515,6,0.05450326827391527,0
1559,Headline 1559,Reporter X,Content of news article 1559,News Source 2,2020-01-25 12:00:00,88,1283,5,0.024774110391147186,0
1560,Headline 1560,Jane Smith,Content of news article 1560,Independent,2020-01-25 18:00:00,47,2523,6,-0.3761366871614735,1
1561,Headline 1561,Anonymous,Content of news article 1561,Blog,2020-01-26 00:00:00,93,1347,14,0.3152763106335148,0
1562,Headline 1562,Anonymous,Content of news article 1562,Independent,2020-01-26 06:00:00,3,4332,12,0.4594624379828838,0
1563,Headline 1563,John Doe,Content of news article 1563,Independent,2020-01-26 12:00:00,64,4390,2,-0.3105811676921806,1
1564,Headline 1564,John Doe,Content of news article 1564,News Source 1,2020-01-26 18:00:00,96,3717,11,0.8969905185423603,0
1565,Headline 1565,Reporter X,Content of news article 1565,News Source 1,2020-01-27 00:00:00,51,131,1,-0.1469807402765415,0
1566,Headline 1566,John Doe,Content of news article 1566,News Source 1,2020-01-27 06:00:00,95,3174,9,0.4594087191553917,1
1567,Headline 1567,Jane Smith,Content of news article 1567,Blog,2020-01-27 12:00:00,93,237,2,-0.44696728787460005,1
1568,Headline 1568,Reporter X,Content of news article 1568,Independent,2020-01-27 18:00:00,90,2117,14,-0.5035074494358585,0
1569,Headline 1569,Jane Smith,Content of news article 1569,Independent,2020-01-28 00:00:00,88,393,5,-0.8348727733112398,1
1570,Headline 1570,Jane Smith,Content of news article 1570,Independent,2020-01-28 06:00:00,26,1913,11,-0.6120515168953515,0
1571,Headline 1571,Jane Smith,Content of news article 1571,Independent,2020-01-28 12:00:00,64,3377,8,-0.8131058356138743,0
1572,Headline 1572,Anonymous,Content of news article 1572,News Source 2,2020-01-28 18:00:00,63,3586,4,-0.22853472390540475,1
1573,Headline 1573,Anonymous,Content of news article 1573,News Source 2,2020-01-29 00:00:00,12,4945,10,-0.7663066547283495,1
1574,Headline 1574,John Doe,Content of news article 1574,News Source 2,2020-01-29 06:00:00,84,1291,11,0.04932764668151446,1
1575,Headline 1575,Anonymous,Content of news article 1575,Independent,2020-01-29 12:00:00,17,844,2,-0.7563801409928801,0
1576,Headline 1576,Anonymous,Content of news article 1576,News Source 2,2020-01-29 18:00:00,45,3887,1,0.7447655157543469,1
1577,Headline 1577,Jane Smith,Content of news article 1577,Blog,2020-01-30 00:00:00,17,1701,7,-0.7691904766658617,0
1578,Headline 1578,Reporter X,Content of news article 1578,News Source 1,2020-01-30 06:00:00,96,2187,11,-0.4739237785059358,1
1579,Headline 1579,Anonymous,Content of news article 1579,News Source 2,2020-01-30 12:00:00,9,1981,13,0.7943960741568812,1
1580,Headline 1580,Reporter X,Content of news article 1580,News Source 1,2020-01-30 18:00:00,18,1432,14,-0.18157446155407753,0
1581,Headline 1581,Jane Smith,Content of news article 1581,News Source 2,2020-01-31 00:00:00,15,1576,5,-0.45674307548036475,1
1582,Headline 1582,John Doe,Content of news article 1582,News Source 2,2020-01-31 06:00:00,94,4284,7,-0.8695289203499763,1
1583,Headline 1583,Reporter X,Content of news article 1583,News Source 2,2020-01-31 12:00:00,90,4668,9,-0.3062545798988512,0
1584,Headline 1584,Reporter X,Content of news article 1584,Independent,2020-01-31 18:00:00,22,1503,2,-0.1441606883026525,1
1585,Headline 1585,Reporter X,Content of news article 1585,Blog,2020-02-01 00:00:00,52,828,3,0.9358417490557929,1
1586,Headline 1586,John Doe,Content of news article 1586,Independent,2020-02-01 06:00:00,44,4577,11,-0.32288849473618564,0
1587,Headline 1587,Anonymous,Content of news article 1587,Independent,2020-02-01 12:00:00,95,4757,7,-0.7795075396145654,1
1588,Headline 1588,Reporter X,Content of news article 1588,News Source 1,2020-02-01 18:00:00,91,2503,2,0.0973447506243108,0
1589,Headline 1589,Anonymous,Content of news article 1589,Independent,2020-02-02 00:00:00,12,1204,3,0.8852157849380136,0
1590,Headline 1590,Reporter X,Content of news article 1590,News Source 1,2020-02-02 06:00:00,30,3050,8,0.5930750319636302,1
1591,Headline 1591,John Doe,Content of news article 1591,News Source 2,2020-02-02 12:00:00,40,762,9,-0.2995970279143272,0
1592,Headline 1592,Anonymous,Content of news article 1592,News Source 2,2020-02-02 18:00:00,40,4254,11,-0.30564031816961745,1
1593,Headline 1593,Anonymous,Content of news article 1593,News Source 2,2020-02-03 00:00:00,65,4322,1,-0.642976879278546,1
1594,Headline 1594,Reporter X,Content of news article 1594,Blog,2020-02-03 06:00:00,52,1327,4,-0.2173409123458221,0
1595,Headline 1595,John Doe,Content of news article 1595,Blog,2020-02-03 12:00:00,91,3244,3,-0.1634153026358296,1
1596,Headline 1596,Reporter X,Content of news article 1596,News Source 2,2020-02-03 18:00:00,65,3111,8,-0.36083724879370793,1
1597,Headline 1597,John Doe,Content of news article 1597,Blog,2020-02-04 00:00:00,89,3014,14,-0.008090910138074614,1
1598,Headline 1598,Reporter X,Content of news article 1598,News Source 2,2020-02-04 06:00:00,41,2579,15,0.5252513030819996,1
1599,Headline 1599,Reporter X,Content of news article 1599,Blog,2020-02-04 12:00:00,24,2587,9,0.798543126954735,1
1600,Headline 1600,John Doe,Content of news article 1600,News Source 2,2020-02-04 18:00:00,92,4036,4,0.20612090204344802,0
1601,Headline 1601,John Doe,Content of news article 1601,Blog,2020-02-05 00:00:00,80,2037,6,-0.2515535717774271,1
1602,Headline 1602,John Doe,Content of news article 1602,Blog,2020-02-05 06:00:00,83,1948,10,-0.2815282743920178,1
1603,Headline 1603,Anonymous,Content of news article 1603,News Source 2,2020-02-05 12:00:00,74,3666,4,-0.46122472545415016,0
1604,Headline 1604,John Doe,Content of news article 1604,Blog,2020-02-05 18:00:00,41,3318,5,-0.05547952500498066,0
1605,Headline 1605,Anonymous,Content of news article 1605,News Source 2,2020-02-06 00:00:00,0,1458,12,-0.5590562675045767,0
1606,Headline 1606,John Doe,Content of news article 1606,Independent,2020-02-06 06:00:00,6,3286,3,0.16320737239963434,0
1607,Headline 1607,Reporter X,Content of news article 1607,Independent,2020-02-06 12:00:00,75,3950,15,0.5989049342020036,1
1608,Headline 1608,Anonymous,Content of news article 1608,News Source 2,2020-02-06 18:00:00,97,206,13,0.9931294954662933,0
1609,Headline 1609,John Doe,Content of news article 1609,News Source 1,2020-02-07 00:00:00,72,3035,6,-0.33301088388669653,1
1610,Headline 1610,Reporter X,Content of news article 1610,Independent,2020-02-07 06:00:00,78,2443,3,-0.43865294304186286,1
1611,Headline 1611,Reporter X,Content of news article 1611,Independent,2020-02-07 12:00:00,78,4853,2,0.10028131061876677,0
1612,Headline 1612,John Doe,Content of news article 1612,News Source 1,2020-02-07 18:00:00,14,2949,14,-0.43985147539162384,0
1613,Headline 1613,Anonymous,Content of news article 1613,Independent,2020-02-08 00:00:00,7,2244,7,0.5242978394954696,1
1614,Headline 1614,Jane Smith,Content of news article 1614,News Source 2,2020-02-08 06:00:00,48,3872,5,0.8511696396777855,0
1615,Headline 1615,Jane Smith,Content of news article 1615,Blog,2020-02-08 12:00:00,97,1538,4,0.6130825127819055,1
1616,Headline 1616,Reporter X,Content of news article 1616,News Source 1,2020-02-08 18:00:00,53,3475,12,0.2941497346143227,0
1617,Headline 1617,Anonymous,Content of news article 1617,News Source 2,2020-02-09 00:00:00,99,2266,8,-0.3546106253956829,0
1618,Headline 1618,Reporter X,Content of news article 1618,News Source 1,2020-02-09 06:00:00,78,3783,12,0.2496468642386609,1
1619,Headline 1619,Anonymous,Content of news article 1619,News Source 2,2020-02-09 12:00:00,5,2256,4,0.9289363899708369,1
1620,Headline 1620,Anonymous,Content of news article 1620,Independent,2020-02-09 18:00:00,41,4710,8,-0.909382554737191,0
1621,Headline 1621,Anonymous,Content of news article 1621,News Source 2,2020-02-10 00:00:00,55,3300,12,-0.4863558397961054,1
1622,Headline 1622,John Doe,Content of news article 1622,News Source 1,2020-02-10 06:00:00,19,4946,13,0.3358402824697879,0
1623,Headline 1623,Anonymous,Content of news article 1623,Independent,2020-02-10 12:00:00,5,2457,1,0.5930819784348389,1
1624,Headline 1624,Reporter X,Content of news article 1624,News Source 1,2020-02-10 18:00:00,87,2510,14,-0.288392520596227,1
1625,Headline 1625,John Doe,Content of news article 1625,News Source 2,2020-02-11 00:00:00,29,3215,13,0.9406950102114493,0
1626,Headline 1626,Anonymous,Content of news article 1626,News Source 2,2020-02-11 06:00:00,22,2943,9,0.4525214031048286,1
1627,Headline 1627,Anonymous,Content of news article 1627,News Source 2,2020-02-11 12:00:00,97,4665,13,-0.7823353394668346,1
1628,Headline 1628,Reporter X,Content of news article 1628,Independent,2020-02-11 18:00:00,52,1521,4,0.8185782904502632,0
1629,Headline 1629,John Doe,Content of news article 1629,News Source 1,2020-02-12 00:00:00,12,3153,5,0.6476463595922168,1
1630,Headline 1630,Jane Smith,Content of news article 1630,Blog,2020-02-12 06:00:00,73,4776,1,-0.7899003716761139,1
1631,Headline 1631,Anonymous,Content of news article 1631,News Source 2,2020-02-12 12:00:00,80,720,4,-0.5095553189384359,1
1632,Headline 1632,Reporter X,Content of news article 1632,Blog,2020-02-12 18:00:00,66,4896,1,-0.07956668622648677,0
1633,Headline 1633,John Doe,Content of news article 1633,Blog,2020-02-13 00:00:00,49,258,11,-0.5717783585599643,0
1634,Headline 1634,Reporter X,Content of news article 1634,Blog,2020-02-13 06:00:00,76,4062,6,0.18009492917094727,1
1635,Headline 1635,Jane Smith,Content of news article 1635,News Source 1,2020-02-13 12:00:00,21,2277,14,-0.5927964254418692,0
1636,Headline 1636,John Doe,Content of news article 1636,News Source 1,2020-02-13 18:00:00,0,2385,8,-0.4562986252328254,0
1637,Headline 1637,Anonymous,Content of news article 1637,Blog,2020-02-14 00:00:00,36,696,12,0.838801556134102,1
1638,Headline 1638,Anonymous,Content of news article 1638,Independent,2020-02-14 06:00:00,32,3613,13,0.4043133677395023,1
1639,Headline 1639,John Doe,Content of news article 1639,News Source 1,2020-02-14 12:00:00,90,4375,3,0.9886478381203447,0
1640,Headline 1640,Jane Smith,Content of news article 1640,News Source 1,2020-02-14 18:00:00,78,1218,5,-0.48878097525275455,1
